datetime,temp
0,30.0
0,28.0
0,24.0
0,24.0
0,23.0
0,21.0
0,21.0
0,21.0
0,19.0
0,19.0
0,19.0
0,19.0
1,19.0
1,19.0
1,20.0
1,22.0
1,23.0
1,26.0
1,28.0
1,30.0
1,31.0
1,31.0
1,31.0
1,30.0
1,27.0
1,25.0
1,22.0
1,21.0
1,19.0
1,20.0
1,19.0
1,19.0
1,17.0
1,17.0
1,17.0
1,17.0
2,17.0
2,16.0
2,17.0
2,19.0
2,22.0
2,22.0
2,26.0
2,28.0
2,28.0
2,29.0
2,29.0
2,27.0
2,26.0
2,22.0
2,22.0
2,21.0
2,21.0
2,20.0
2,20.0
2,19.0
2,19.0
2,19.0
2,17.0
2,17.0
3,18.0
3,15.0
3,17.0
3,20.0
3,26.0
3,28.0
3,28.0
3,29.0
3,29.0
3,29.0
3,27.0
3,25.0
3,23.0
3,21.0
3,21.0
3,18.0
3,18.0
3,17.0
4,24.0
4,26.0
4,29.0
4,30.0
4,30.0
5,28.0
5,29.0
5,29.0
5,29.0
5,28.0
5,25.0
5,24.0
5,20.0
5,19.0
5,19.0
5,19.0
5,18.0
5,17.0
5,16.0
5,16.0
5,15.0
6,15.0
6,17.0
6,18.0
6,19.0
6,23.0
6,25.0
6,27.0
6,29.0
6,29.0
6,30.0
6,30.0
6,29.0
6,25.0
6,24.0
6,22.0
6,20.0
6,19.0
6,19.0
6,19.0
6,18.0
6,17.0
6,17.0
6,16.0
6,15.0
7,15.0
7,16.0
7,18.0
7,21.0
7,24.0
7,27.0
7,28.0
7,29.0
7,29.0
7,28.0
7,27.0
7,23.0
7,21.0
7,21.0
7,20.0
7,20.0
7,19.0
7,19.0
7,18.0
7,17.0
7,17.0
7,16.0
7,16.0
8,16.0
8,15.0
8,16.0
8,18.0
8,21.0
8,24.0
8,27.0
8,28.0
8,28.0
8,27.0
8,25.0
8,21.0
8,20.0
8,19.0
8,19.0
8,18.0
8,17.0
8,17.0
8,17.0
8,15.0
8,15.0
8,15.0
9,14.0
9,14.0
9,15.0
9,18.0
9,22.0
9,24.0
9,26.0
9,28.0
9,29.0
9,29.0
9,29.0
9,27.0
9,23.0
9,21.0
9,18.0
9,19.0
9,18.0
9,17.0
9,16.0
9,15.0
9,14.0
9,14.0
10,14.0
10,15.0
10,18.0
10,19.0
10,24.0
10,27.0
10,28.0
10,29.0
10,30.0
10,28.0
10,29.0
10,28.0
10,24.0
10,23.0
10,22.0
10,20.0
10,20.0
10,20.0
10,19.0
10,20.0
10,18.0
10,17.0
10,16.0
11,16.0
11,16.0
11,21.0
11,24.0
11,26.0
11,28.0
11,30.0
11,30.0
11,31.0
11,31.0
11,30.0
11,28.0
11,25.0
11,24.0
11,23.0
11,22.0
11,22.0
11,21.0
11,21.0
11,19.0
11,20.0
11,20.0
11,18.0
11,17.0
12,17.0
12,19.0
12,21.0
12,25.0
12,25.0
12,26.0
12,28.0
12,34.0
12,28.0
12,28.0
12,27.0
12,25.0
12,23.0
12,22.0
12,21.0
12,21.0
12,21.0
12,20.0
12,19.0
12,21.0
12,23.0
12,20.0
13,20.0
13,21.0
13,22.0
13,25.0
13,26.0
13,27.0
13,28.0
13,28.0
13,28.0
13,27.0
13,24.0
13,21.0
13,19.0
13,19.0
13,16.0
13,15.0
13,14.0
13,14.0
14,14.0
14,14.0
14,15.0
14,22.0
14,23.0
14,25.0
14,26.0
14,24.0
14,22.0
14,19.0
14,17.0
14,16.0
14,15.0
14,14.0
14,14.0
14,13.0
14,12.0
14,12.0
15,11.0
15,11.0
15,12.0
15,15.0
15,17.0
15,19.0
15,24.0
15,25.0
15,25.0
15,25.0
15,23.0
15,22.0
15,17.0
15,17.0
15,17.0
15,16.0
15,15.0
15,14.0
15,14.0
15,11.0
15,11.0
16,10.0
16,11.0
16,11.0
16,14.0
16,18.0
16,21.0
16,23.0
16,25.0
16,25.0
16,26.0
16,25.0
16,24.0
16,22.0
16,18.0
16,17.0
16,17.0
16,17.0
16,16.0
16,14.0
16,14.0
16,14.0
16,13.0
16,12.0
16,12.0
17,13.0
17,13.0
17,15.0
17,17.0
17,22.0
17,25.0
17,28.0
17,25.0
17,21.0
17,21.0
17,20.0
17,19.0
17,18.0
17,17.0
17,16.0
17,17.0
17,15.0
17,17.0
17,15.0
18,16.0
18,16.0
18,17.0
18,19.0
18,20.0
18,24.0
18,24.0
18,25.0
18,25.0
18,25.0
18,25.0
18,23.0
18,19.0
18,17.0
18,17.0
18,16.0
18,17.0
18,16.0
18,16.0
18,16.0
18,15.0
18,17.0
18,17.0
19,17.0
19,17.0
19,22.0
19,19.0
19,22.0
19,23.0
19,25.0
19,25.0
19,23.0
19,22.0
19,21.0
19,20.0
19,21.0
19,20.0
19,20.0
19,19.0
19,19.0
19,16.0
19,17.0
19,16.0
19,14.0
19,14.0
20,14.0
20,15.0
20,15.0
20,16.0
20,19.0
20,22.0
20,23.0
20,25.0
20,25.0
20,25.0
20,20.0
20,19.0
20,19.0
20,19.0
20,17.0
20,17.0
20,16.0
20,15.0
20,13.0
20,13.0
20,11.0
20,11.0
21,11.0
21,12.0
21,12.0
21,16.0
21,19.0
21,23.0
21,21.0
21,19.0
21,16.0
21,15.0
21,14.0
21,15.0
21,13.0
21,13.0
21,13.0
21,12.0
21,12.0
21,12.0
22,12.0
22,14.0
22,14.0
22,17.0
22,19.0
22,20.0
22,21.0
22,22.0
22,23.0
22,22.0
22,21.0
22,19.0
22,17.0
22,16.0
22,15.0
22,15.0
22,14.0
22,14.0
22,13.0
22,12.0
22,12.0
22,11.0
22,10.0
23,10.0
23,11.0
23,12.0
23,13.0
23,16.0
23,19.0
23,21.0
23,22.0
23,24.0
23,24.0
23,24.0
23,22.0
23,19.0
23,16.0
23,17.0
23,16.0
23,15.0
23,13.0
23,14.0
23,12.0
23,13.0
23,11.0
23,12.0
23,11.0
24,11.0
24,12.0
24,13.0
24,15.0
24,17.0
24,20.0
24,22.0
24,24.0
24,24.0
24,25.0
24,23.0
24,20.0
24,17.0
24,17.0
24,16.0
24,15.0
24,15.0
24,14.0
24,14.0
24,14.0
24,12.0
24,12.0
25,13.0
25,12.0
25,16.0
25,17.0
25,25.0
25,25.0
25,27.0
25,27.0
25,27.0
25,28.0
25,24.0
25,21.0
25,19.0
25,18.0
25,17.0
25,17.0
25,15.0
25,15.0
25,15.0
25,15.0
25,14.0
25,14.0
26,13.0
26,14.0
26,15.0
26,20.0
26,23.0
26,25.0
26,25.0
26,25.0
26,24.0
26,21.0
26,18.0
26,17.0
26,16.0
26,16.0
26,15.0
26,15.0
26,14.0
26,13.0
26,14.0
26,13.0
26,12.0
27,13.0
27,15.0
27,21.0
27,23.0
27,25.0
27,24.0
27,24.0
27,23.0
27,20.0
27,17.0
27,15.0
27,17.0
27,17.0
27,13.0
27,14.0
27,14.0
27,12.0
27,12.0
27,10.0
28,23.0
28,16.0
28,15.0
28,12.0
28,12.0
28,10.0
28,10.0
28,10.0
28,9.0
29,9.0
29,9.0
29,10.0
29,12.0
29,15.0
29,19.0
29,21.0
29,21.0
29,22.0
29,22.0
29,22.0
29,16.0
29,14.0
29,14.0
29,13.0
29,12.0
29,11.0
29,11.0
29,11.0
29,10.0
29,9.0
29,10.0
30,9.0
30,10.0
30,11.0
30,12.0
30,15.0
30,18.0
30,20.0
30,21.0
30,22.0
30,21.0
30,18.0
30,15.0
30,14.0
30,13.0
30,13.0
30,11.0
30,13.0
30,11.0
