,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,x41,x42,x43,y
0,7.4,0.7,0.0,1.9,0.076,11.0,34.0,0.9978,3.51,0.56,9.4,8.31,8.15,15.14,1.49,1.41,1.91,0.68,0.71,0.18,2.85,3.96,2.44,0.58,0.86,0.86,22.26,11.19,11.09,34.19,34.91,34.97,1.87,2.4,2.41,4.15,3.52,3.53,1.36,1.24,1.91,9.81,10.16,19.37,5
1,7.8,0.88,0.0,2.6,0.098,25.0,67.0,0.9968,3.2,0.68,9.8,8.71,8.55,15.94,1.85,1.59,2.27,0.68,0.71,0.18,3.55,5.36,3.14,0.62,0.9,0.89,50.26,25.19,25.09,67.19,67.91,67.97,1.86,2.39,2.4,3.84,3.21,3.22,1.6,1.36,2.15,10.21,10.56,20.17,5
2,7.8,0.76,0.04,2.3,0.092,15.0,54.0,0.997,3.26,0.65,9.8,8.71,8.55,15.94,1.61,1.47,2.03,0.72,0.75,0.26,3.25,4.76,2.84,0.61,0.89,0.88,30.26,15.19,15.09,54.19,54.91,54.97,1.87,2.39,2.4,3.9,3.27,3.28,1.54,1.33,2.09,10.21,10.56,20.17,5
3,11.2,0.28,0.56,1.9,0.075,17.0,60.0,0.998,3.16,0.58,9.8,12.11,11.95,22.74,0.65,0.99,1.07,1.24,1.27,1.3,2.85,3.96,2.44,0.58,0.85,0.86,34.26,17.19,17.09,60.19,60.91,60.97,1.87,2.4,2.41,3.8,3.17,3.18,1.4,1.26,1.95,10.21,10.56,20.17,6
4,7.4,0.7,0.0,1.9,0.076,11.0,34.0,0.9978,3.51,0.56,9.4,8.31,8.15,15.14,1.49,1.41,1.91,0.68,0.71,0.18,2.85,3.96,2.44,0.58,0.86,0.86,22.26,11.19,11.09,34.19,34.91,34.97,1.87,2.4,2.41,4.15,3.52,3.53,1.36,1.24,1.91,9.81,10.16,19.37,5
5,7.4,0.66,0.0,1.8,0.075,13.0,40.0,0.9978,3.51,0.56,9.4,8.31,8.15,15.14,1.41,1.37,1.83,0.68,0.71,0.18,2.75,3.76,2.34,0.58,0.85,0.86,26.26,13.19,13.09,40.19,40.91,40.97,1.87,2.4,2.41,4.15,3.52,3.53,1.36,1.24,1.91,9.81,10.16,19.37,5
6,7.9,0.6,0.06,1.6,0.069,15.0,59.0,0.9964,3.3,0.46,9.4,8.81,8.65,16.14,1.29,1.31,1.71,0.74,0.77,0.3,2.55,3.36,2.14,0.57,0.84,0.86,30.26,15.19,15.09,59.19,59.91,59.97,1.86,2.39,2.4,3.94,3.31,3.32,1.16,1.14,1.71,9.81,10.16,19.37,5
7,7.3,0.65,0.0,1.2,0.065,15.0,21.0,0.9946,3.39,0.47,10.0,8.21,8.05,14.94,1.39,1.36,1.81,0.68,0.71,0.18,2.15,2.56,1.74,0.56,0.83,0.85,30.26,15.19,15.09,21.19,21.91,21.97,1.86,2.39,2.4,4.03,3.4,3.41,1.18,1.15,1.73,10.41,10.76,20.57,7
8,7.8,0.58,0.02,2.0,0.073,9.0,18.0,0.9968,3.36,0.57,9.5,8.71,8.55,15.94,1.25,1.29,1.67,0.7,0.73,0.22,2.95,4.16,2.54,0.57,0.85,0.86,18.26,9.19,9.09,18.19,18.91,18.97,1.86,2.39,2.4,4.0,3.37,3.38,1.38,1.25,1.93,9.91,10.26,19.57,7
9,7.5,0.5,0.36,6.1,0.071,17.0,102.0,0.9978,3.35,0.8,10.5,8.41,8.25,15.34,1.09,1.21,1.51,1.04,1.07,0.9,7.05,12.36,6.64,0.57,0.85,0.86,34.26,17.19,17.09,102.19,102.91,102.97,1.87,2.4,2.41,3.99,3.36,3.37,1.84,1.48,2.39,10.91,11.26,21.57,5
10,6.7,0.58,0.08,1.8,0.097,15.0,65.0,0.9959,3.28,0.54,9.2,7.61,7.45,13.74,1.25,1.29,1.67,0.76,0.79,0.34,2.75,3.76,2.34,0.62,0.9,0.88,30.26,15.19,15.09,65.19,65.91,65.97,1.86,2.39,2.4,3.92,3.29,3.3,1.32,1.22,1.87,9.61,9.96,18.97,5
11,7.5,0.5,0.36,6.1,0.071,17.0,102.0,0.9978,3.35,0.8,10.5,8.41,8.25,15.34,1.09,1.21,1.51,1.04,1.07,0.9,7.05,12.36,6.64,0.57,0.85,0.86,34.26,17.19,17.09,102.19,102.91,102.97,1.87,2.4,2.41,3.99,3.36,3.37,1.84,1.48,2.39,10.91,11.26,21.57,5
12,5.6,0.615,0.0,1.6,0.089,16.0,59.0,0.9943,3.58,0.52,9.9,6.51,6.35,11.54,1.32,1.33,1.74,0.68,0.71,0.18,2.55,3.36,2.14,0.61,0.88,0.88,32.26,16.19,16.09,59.19,59.91,59.97,1.86,2.39,2.4,4.22,3.59,3.6,1.28,1.2,1.83,10.31,10.66,20.37,5
13,7.8,0.61,0.29,1.6,0.114,9.0,29.0,0.9974,3.26,1.56,9.1,8.71,8.55,15.94,1.31,1.32,1.73,0.97,1.0,0.76,2.55,3.36,2.14,0.66,0.93,0.9,18.26,9.19,9.09,29.19,29.91,29.97,1.87,2.4,2.4,3.9,3.27,3.28,3.36,2.24,3.91,9.51,9.86,18.77,5
14,8.9,0.62,0.18,3.8,0.176,52.0,145.0,0.9986,3.16,0.88,9.2,9.81,9.65,18.14,1.33,1.33,1.75,0.86,0.89,0.54,4.75,7.76,4.34,0.78,1.06,0.96,104.26,52.19,52.09,145.19,145.91,145.97,1.87,2.4,2.41,3.8,3.17,3.18,2.0,1.56,2.55,9.61,9.96,18.97,5
15,8.9,0.62,0.19,3.9,0.17,51.0,148.0,0.9986,3.17,0.93,9.2,9.81,9.65,18.14,1.33,1.33,1.75,0.87,0.9,0.56,4.85,7.96,4.44,0.77,1.04,0.96,102.26,51.19,51.09,148.19,148.91,148.97,1.87,2.4,2.41,3.81,3.18,3.19,2.1,1.61,2.65,9.61,9.96,18.97,5
16,8.5,0.28,0.56,1.8,0.092,35.0,103.0,0.9969,3.3,0.75,10.5,9.41,9.25,17.34,0.65,0.99,1.07,1.24,1.27,1.3,2.75,3.76,2.34,0.61,0.89,0.88,70.26,35.19,35.09,103.19,103.91,103.97,1.86,2.39,2.4,3.94,3.31,3.32,1.74,1.43,2.29,10.91,11.26,21.57,7
17,8.1,0.56,0.28,1.7,0.368,16.0,56.0,0.9968,3.11,1.28,9.3,9.01,8.85,16.54,1.21,1.27,1.63,0.96,0.99,0.74,2.65,3.56,2.24,1.16,1.44,1.16,32.26,16.19,16.09,56.19,56.91,56.97,1.86,2.39,2.4,3.75,3.12,3.13,2.8,1.96,3.35,9.71,10.06,19.17,5
